<p>
Jeff	NP	Jeff
Ilg	NP	Ilg
said	VBD	say
he	PP	he
and	CC	and
his	PP$	his
wife	NN	wife
,	,	,
Amelia	NP	Amelia
Rainville	NP	Rainville
,	,	,
suspect	VBP	suspect
the	DT	the
ice	NN	ice
fell	VBD	fall
off	RP	off
an	DT	an
airplane	NN	airplane
traveling	VBG	travel
to	TO	to
Boston	NP	Boston
Logan	NP	Logan
International	NP	International
Airport	NP	Airport
.	SENT	.
AP	NP	AP
<p>
"	``	"
Sure	RB	sure
enough	RB	enough
,	,	,
it	PP	it
was	VBD	be
in	IN	in
there	EX	there
,	,	,
and	CC	and
it	PP	it
was	VBD	be
big	JJ	big
,	,	,
"	''	"
Ilg	NP	Ilg
told	VBD	tell
the	DT	the
outlet	NN	outlet
,	,	,
saying	VBG	say
the	DT	the
impact	NN	impact
on	IN	on
the	DT	the
outside	NN	outside
of	IN	of
their	PP$	their
home	NN	home
was	VBD	be
about	RB	about
18	CD	@card@
inches	NNS	inch
to	TO	to
2	CD	@card@
feet	NNS	foot
in	IN	in
size	NN	size
.	SENT	.
<p>
The	DT	the
couple	NN	couple
assumed	VBD	assume
it	PP	it
fell	VBD	fall
from	IN	from
an	DT	an
airplane	NN	airplane
traveling	VBG	travel
to	TO	to
Boston	NP	Boston
Logan	NP	Logan
International	NP	International
Airport	NP	Airport
--	:	--
which	WDT	which
is	VBZ	be
about	RB	about
47	CD	@card@
miles	NNS	mile
from	IN	from
their	PP$	their
home	NN	home
.	SENT	.
<p>
Airplanes	NNS	airplane
can	MD	can
ice	VB	ice
up	RB	up
due	JJ	due
to	TO	to
supercooled	VBN	supercool
water	NN	water
,	,	,
an	DT	an
unstable	JJ	unstable
liquid	NN	liquid
that	WDT	that
freezes	VBZ	freeze
when	WRB	when
it	PP	it
hits	VBZ	hit
an	DT	an
aircraft	NN	aircraft
in	IN	in
the	DT	the
sky	NN	sky
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
FAA	NP	FAA
.	SENT	.
<p>
"	``	"
This	DT	this
can	MD	can
happen	VB	happen
when	WRB	when
an	DT	an
aircraft	NN	aircraft
flies	VBZ	fly
near	IN	near
the	DT	the
top	NN	top
of	IN	of
a	DT	a
cold	JJ	cold
air	NN	air
mass	NN	mass
beneath	IN	beneath
a	DT	a
layer	NN	layer
of	IN	of
warm	JJ	warm
air	NN	air
,	,	,
such	JJ	such
as	IN	as
during	IN	during
freezing	NN	freezing
rain	NN	rain
