<p>
Jerusalem	NP	Jerusalem
,	,	,
Oct	NP	Oct
6	CD	@card@
:	:	:
Iranian	NP	Iranian
Foreign	NP	Foreign
Minister	NP	Minister
Seyyed	NP	<unknown>
Abbas	NP	Abbas
Araghchi	NP	<unknown>
has	VBZ	have
said	VBN	say
here	RB	here
that	IN	that
Iran	NP	Iran
supports	VBZ	support
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
and	CC	and
Lebanon	NP	Lebanon
,	,	,
and	CC	and
warned	VBD	warn
Israel	NP	Israel
that	IN	that
his	PP$	his
country	NN	country
would	MD	would
respond	VB	respond
proportionately	RB	proportionately
to	TO	to
any	DT	any
attacks	NNS	attack
,	,	,
and	CC	and
if	IN	if
necessary	JJ	necessary
,	,	,
with	IN	with
greater	JJR	great
force	NN	force
.	SENT	.
In	IN	in
a	DT	a
press	NN	press
conference	NN	conference
wrapping	VBG	wrap
up	RP	up
his	PP$	his
one-day	JJ	one-day
visit	NN	visit
to	TO	to
Syria	NP	Syria
,	,	,
Araghchi	NP	<unknown>
on	IN	on
Saturday	NP	Saturday
reaffirmed	VBD	reaffirm
Iran	NP	Iran
'	POS	'
s	JJ	<unknown>
commitment	NN	commitment
to	TO	to
standing	VBG	stand
by	IN	by
the	DT	the
"	``	"
resistance	NN	resistance
"	''	"
against	IN	against
Israel	NP	Israel
,	,	,
noting	VBG	note
that	IN	that
the	DT	the
country	NN	country
will	MD	will
continue	VB	continue
its	PP$	its
aid	NN	aid
and	CC	and
coordination	NN	coordination
with	IN	with
Syria	NP	Syria
to	TO	to
support	VB	support
displaced	VBN	displace
Lebanese	JJ	Lebanese
refugees	NNS	refugee
,	,	,
Xinhua	NP	Xinhua
news	NN	news
agency	NN	agency
reported	VBD	report
.	SENT	.
"	``	"
There	EX	there
are	VBP	be
two	CD	two
urgent	JJ	urgent
issues	NNS	issue
on	IN	on
our	PP$	our
agenda	NN	agenda
:	:	:
addressing	VBG	address
the	DT	the
needs	NNS	need
of	IN	of
Lebanese	JJ	Lebanese
refugees	NNS	refugee
and	CC	and
securing	VBG	secure
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
and	CC	and
Lebanon	NP	Lebanon
,	,	,
"	''	"
Araghchi	NP	<unknown>
said	VBD	say
.	SENT	.
He	PP	he
added	VBD	add
that	IN	that
Iran	NP	Iran
has	VBZ	have
already	RB	already
sent	VBN	send
humanitarian	JJ	humanitarian
aid	NN	aid
to	TO	to
help	VB	help
the	DT	the
Lebanese	JJ	Lebanese
refugees	NNS	refugee
in	IN	in
Syria	NP	Syria
,	,	,
with	IN	with
more	RBR	more
expected	VBN	expect
to	TO	to
arrive	VB	arrive
soon	RB	soon
.	SENT	.
On	IN	on
the	DT	the
possibility	NN	possibility
of	IN	of
an	DT	an
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
Iran	NP	Iran
,	,	,
Araghchi	NP	<unknown>
warned	VBD	warn
,	,	,
"	``	"
Our	PP$	our
response	NN	response
to	TO	to
any	DT	any
Israeli	JJ	Israeli
strike	NN	strike
will	MD	will
be	VB	be
proportional	JJ	proportional
,	,	,
and	CC	and
even	RB	even
stronger	JJR	strong
if	IN	if
necessary	JJ	necessary
.	SENT	.
We	PP	we
have	VBP	have
demonstrated	VBN	demonstrate
this	DT	this
in	IN	in
the	DT	the
past	NN	past
,	,	,
and	CC	and
they	PP	they
are	VBP	be
welcome	JJ	welcome
to	TO	to
test	VB	test
our	PP$	our
resolve	NN	resolve
again	RB	again
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
ceasefire	NN	ceasefire
are	VBP	be
currently	RB	currently
under	IN	under
discussion	NN	discussion
but	CC	but
refrained	VBN	refrain
from	IN	from
providing	VBG	provide
specific	JJ	specific
details	NNS	detail
.	SENT	.
He	PP	he
stressed	VBD	stress
that	IN	that
any	DT	any
ceasefire	NN	ceasefire
conditions	NNS	condition
must	MD	must
be	VB	be
acceptable	JJ	acceptable
to	TO	to
both	DT	both
Palestinians	NPS	Palestinians
and	CC	and
Lebanese	JJ	Lebanese
.	SENT	.
When	WRB	when
asked	VBN	ask
about	IN	about
Iran	NP	Iran
'	POS	'
s	JJ	<unknown>
relationship	NN	relationship
with	IN	with
Syria	NP	Syria
,	,	,
Araghchi	NP	<unknown>
highlighted	VBD	highlight
the	DT	the
deep-rooted	JJ	deep-rooted
strategic	JJ	strategic
partnership	NN	partnership
between	IN	between
the	DT	the
two	CD	two
nations	NNS	nation
,	,	,
and	CC	and
emphasised	VBD	emphasise
that	IN	that
Iran	NP	Iran
'	POS	'
s	JJ	<unknown>
support	NN	support
for	IN	for
Syria	NP	Syria
will	MD	will
continue	VB	continue
under	IN	under
all	DT	all
circumstances	NNS	circumstance
.	SENT	.
During	IN	during
the	DT	the
visit	NN	visit
,	,	,
the	DT	the
Iranian	JJ	Iranian
foreign	JJ	foreign
minister	NN	minister
also	RB	also
held	VBD	hold
meetings	NNS	meeting
with	IN	with
Syrian	JJ	Syrian
President	NP	President
Bashar	NP	Bashar
al-Assad	NP	al-Assad
and	CC	and
Syrian	NP	Syrian
Prime	NP	Prime
Minister	NP	Minister
Mohammad	NP	Mohammad
Ghazi	NP	Ghazi
Jalali	NP	Jalali
,	,	,
during	IN	during
which	WDT	which
they	PP	they
discussed	VBD	discuss
cooperation	NN	cooperation
to	TO	to
secure	VB	secure
humanitarian	JJ	humanitarian
assistance	NN	assistance
to	TO	to
Lebanese	JJ	Lebanese
families	NNS	family
fleeing	VBG	flee
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
assault	NN	assault
in	IN	in
Lebanon.Syria	NP	Lebanon.Syria
,	,	,
Iran	NP	Iran
discuss	VBP	discuss
ways	NNS	way
to	TO	to
support	VB	support
Lebanon	NP	Lebanon
President	NP	President
al-Assad	NP	al-Assad
and	CC	and
Araghchi	NP	<unknown>
on	IN	on
Saturday	NP	Saturday
discussed	VBD	discuss
ways	NNS	way
to	TO	to
support	VB	support
Lebanon	NP	Lebanon
amid	IN	amid
the	DT	the
ongoing	JJ	ongoing
Israeli	JJ	Israeli
military	JJ	military
offensive	NN	offensive
in	IN	in
Lebanon	NP	Lebanon
.	SENT	.
According	VBG	accord
to	TO	to
Syria	NP	Syria
'	POS	'
s	JJ	<unknown>
state	NN	state
news	NN	news
agency	NN	agency
SANA	NP	Sana
,	,	,
Assad	NP	Assad
emphasised	VBD	emphasise
the	DT	the
strategic	JJ	strategic
relationship	NN	relationship
between	IN	between
Syria	NP	Syria
and	CC	and
Iran	NP	Iran
during	IN	during
his	PP$	his
meeting	NN	meeting
here	RB	here
with	IN	with
Araghchi	NP	<unknown>
and	CC	and
his	PP$	his
delegation	NN	delegation
.	SENT	.
The	DT	the
President	NP	President
underlined	VBD	underline
the	DT	the
importance	NN	importance
of	IN	of
their	PP$	their
alliance	NN	alliance
in	IN	in
confronting	VBG	confront
challenges	NNS	challenge
,	,	,
particularly	RB	particularly
Israeli	JJ	Israeli
actions	NNS	action
in	IN	in
the	DT	the
region	NN	region
,	,	,
Xinhua	NP	Xinhua
news	NN	news
agency	NN	agency
reported	VBD	report
.	SENT	.
He	PP	he
praised	VBD	praise
Iran	NP	Iran
'	POS	'
s	JJ	<unknown>
strong	JJ	strong
response	NN	response
to	TO	to
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
resisting	VBG	resist
what	WP	what
he	PP	he
described	VBD	describe
as	IN	as
"	``	"
occupation	NN	occupation
"	''	"
.	SENT	.
(	(	(
IANS	NNS	<unknown>
)	)	)
<h>
Follow	VBP	follow
us	PP	us
<h>
About	IN	about
Us	PP	us
<p>
The	DT	the
Shillong	NP	Shillong
Times	NP	Times
first	RB	first
appeared	VBD	appear
as	IN	as
a	DT	a
tabloid	JJ	tabloid
weekly	NN	weekly
on	IN	on
10th	JJ	10th
August	NP	August
1945	CD	@card@
under	IN	under
the	DT	the
editorship	NN	editorship
of	IN	of
Late	NP	Late
Sudhindra	NP	Sudhindra
Bhusan	NP	Bhusan
Chaudhuri	NP	Chaudhuri
.	SENT	.
In	IN	in
1958	CD	@card@
it	PP	it
was	VBD	be
converted	VBN	convert
to	TO	to
a	DT	a
Daily	NP	Daily
.	SENT	.
Owing	VBG	owe
to	TO	to
financial	JJ	financial
constraints	NNS	constraint
,	,	,
within	IN	within
six	CD	six
months	NNS	month
it	PP	it
reverted	VBD	revert
back	RB	back
to	TO	to
a	DT	a
weekly	JJ	weekly
.	SENT	.
