<p>
Marvin	NP	Marvin
Blum	NP	Blum
and	CC	and
his	PP$	his
wife	NN	wife
had	VBD	have
just	RB	just
returned	VBN	return
home	NN	home
from	IN	from
a	DT	a
family	NN	family
vacation	NN	vacation
in	IN	in
Israel	NP	Israel
when	WRB	when
they	PP	they
got	VBD	get
a	DT	a
chilling	JJ	chilling
text	NN	text
message	NN	message
from	IN	from
their	PP$	their
daughter	NN	daughter
:	:	:
"	``	"
We	PP	we
are	VBP	be
under	IN	under
attack	NN	attack
.	SENT	.
"	''	"
<p>
Blum	NP	Blum
,	,	,
a	DT	a
Fort	NP	Fort
Worth	NP	Worth
attorney	NN	attorney
,	,	,
said	VBD	say
his	PP$	his
sense	NN	sense
of	IN	of
peace	NN	peace
was	VBD	be
shattered	VBN	shatter
when	WRB	when
he	PP	he
began	VBD	begin
receiving	VBG	receive
texts	NNS	text
from	IN	from
his	PP$	his
daughter	NN	daughter
,	,	,
Lizzy	NP	Lizzy
Savetsky	NP	<unknown>
,	,	,
who	WP	who
grew	VBD	grow
up	RP	up
in	IN	in
Fort	NP	Fort
Worth	NP	Worth
and	CC	and
lives	VBZ	live
New	NP	New
York	NP	York
,	,	,
describing	VBG	describe
how	WRB	how
she	PP	she
,	,	,
her	PP$	her
husband	NN	husband
and	CC	and
their	PP$	their
three	CD	three
children	NNS	child
crowded	VBN	crowd
into	IN	into
a	DT	a
bomb	NN	bomb
shelter	NN	shelter
at	IN	at
the	DT	the
King	NP	King
David	NP	David
Hotel	NP	Hotel
in	IN	in
Jerusalem	NP	Jerusalem
,	,	,
where	WRB	where
the	DT	the
family	NN	family
had	VBD	have
spent	VBN	spend
a	DT	a
happy	JJ	happy
vacation	NN	vacation
.	SENT	.
<p>
Blum	NP	Blum
said	VBD	say
he	PP	he
and	CC	and
his	PP$	his
wife	NN	wife
,	,	,
Laurie	NP	Laurie
,	,	,
had	VBD	have
left	VBN	leave
the	DT	the
country	NN	country
hours	NNS	hour
before	IN	before
Hamas	NP	<unknown>
'	POS	'
attack	NN	attack
on	IN	on
Israel	NP	Israel
on	IN	on
Saturday	NP	Saturday
.	SENT	.
<p>
Blum	NP	Blum
said	VBD	say
he	PP	he
and	CC	and
his	PP$	his
family	NN	family
were	VBD	be
in	IN	in
Israel	NP	Israel
to	TO	to
observe	VB	observe
Sukkot	NP	<unknown>
,	,	,
a	DT	a
week-long	JJ	week-long
holiday	NN	holiday
that	WDT	that
celebrates	VBZ	celebrate
the	DT	the
harvest	NN	harvest
and	CC	and
commemorates	VBZ	commemorate
the	DT	the
protection	NN	protection
of	IN	of
the	DT	the
children	NNS	child
of	IN	of
Israel	NP	Israel
who	WP	who
came	VBD	come
from	IN	from
Egypt	NP	Egypt
.	SENT	.
Sukkot	NP	<unknown>
begins	VBZ	begin
five	CD	five
days	NNS	day
after	IN	after
Yom	NP	Yom
Kippur	NP	Kippur
.	SENT	.
<p>
ADVERTISEMENT	NN	advertisement
<p>
Advertisement	NN	advertisement
<p>
He	PP	he
was	VBD	be
also	RB	also
in	IN	in
Israel	NP	Israel
for	IN	for
his	PP$	his
grandson	NN	grandson
'	POS	'
s	JJ	<unknown>
third	JJ	third
birthday	NN	birthday
,	,	,
a	DT	a
time	NN	time
when	WRB	when
some	DT	some
Jewish	JJ	Jewish
boys	NNS	boy
get	VBP	get
their	PP$	their
first	JJ	first
haircut	NN	haircut
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
<p>
Blum	NP	Blum
