<p>
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
has	VBZ	have
said	VBN	say
Israel	NP	Israel
is	VBZ	be
establishing	VBG	establish
a	DT	a
new	JJ	new
security	NN	security
corridor	NN	corridor
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
to	TO	to
pressure	VB	pressure
Hamas	NNS	<unknown>
,	,	,
suggesting	VBG	suggest
it	PP	it
would	MD	would
cut	VB	cut
off	RP	off
the	DT	the
southern	JJ	southern
city	NN	city
of	IN	of
Rafah	NP	<unknown>
,	,	,
which	WDT	which
Israel	NP	Israel
has	VBZ	have
ordered	VBN	order
evacuated	VBN	evacuate
,	,	,
from	IN	from
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
territory	NN	territory
.	SENT	.
<p>
The	DT	the
announcement	NN	announcement
came	VBD	come
after	IN	after
Mr	NP	Mr
Netanyahu	NP	<unknown>
'	POS	'
s	JJ	<unknown>
defence	NN	defence
minister	NN	minister
said	VBD	say
Israel	NP	Israel
would	MD	would
seize	VB	seize
large	JJ	large
areas	NNS	area
of	IN	of
Gaza	NP	Gaza
and	CC	and
add	VB	add
them	PP	them
to	TO	to
its	PP$	its
so-called	JJ	so-called
security	NN	security
zones	NNS	zone
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
A	DT	a
wave	NN	wave
of	IN	of
Israeli	JJ	Israeli
strikes	NNS	strike
,	,	,
meanwhile	RB	meanwhile
,	,	,
killed	VBD	kill
more	JJR	more
than	IN	than
40	CD	@card@
Palestinians	NNS	Palestinian
,	,	,
including	VBG	include
several	JJ	several
women	NNS	woman
and	CC	and
children	NNS	child
,	,	,
according	VBG	accord
to	TO	to
Palestinian	JJ	Palestinian
health	NN	health
officials	NNS	official
.	SENT	.
<p>
Israel	NP	Israel
has	VBZ	have
vowed	VBN	vow
to	TO	to
escalate	VB	escalate
the	DT	the
nearly	RB	nearly
18-month	JJ	<unknown>
war	NN	war
with	IN	with
Hamas	NNS	<unknown>
until	IN	until
the	DT	the
militant	JJ	militant
group	NN	group
returns	NNS	return
dozens	NNS	dozen
of	IN	of
remaining	VBG	remain
hostages	NNS	hostage
,	,	,
disarms	VBZ	disarm
and	CC	and
leaves	VBZ	leave
the	DT	the
territory	NN	territory
.	SENT	.
<p>
Israel	NP	Israel
ended	VBD	end
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
March	NP	March
and	CC	and
has	VBZ	have
imposed	VBN	impose
a	DT	a
month-long	JJ	month-long
halt	NN	halt
on	IN	on
all	DT	all
imports	NNS	import
of	IN	of
food	NN	food
,	,	,
fuel	NN	fuel
and	CC	and
humanitarian	JJ	humanitarian
aid	NN	aid
.	SENT	.
<p>
Mr	NP	Mr
Netanyahu	NP	<unknown>
described	VBD	describe
the	DT	the
new	JJ	new
axis	NN	axis
as	IN	as
the	DT	the
Morag	NP	<unknown>
corridor	NN	corridor
,	,	,
using	VBG	use
the	DT	the
name	NN	name
of	IN	of
a	DT	a
Jewish	JJ	Jewish
settlement	NN	settlement
that	WDT	that
once	RB	once
stood	VBD	stand
between	IN	between
Rafah	NP	<unknown>
and	CC	and
Khan	NP	Khan
Younis	NP	Younis
,	,	,
suggesting	VBG	suggest
it	PP	it
would	MD	would
run	VB	run
between	IN	between
the	DT	the
two	CD	two
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
be	VB	be
"	``	"
a	DT	a
second	JJ	second
Philadelphi	NP	Philadelphi
corridor	NN	corridor
"	''	"
--	:	--
referring	VBG	refer
to	TO	to
the	DT	the
Gaza	NP	Gaza
side	NN	side
of	IN	of
the	DT	the
border	NN	border
with	IN	with
Egypt	NP	Egypt
further	RBR	further
south	RB	south
,	,	,
which	WDT	which
has	VBZ	have
been	VBN	be
under	IN	under
Israeli	JJ	Israeli
control	NN	control
since	IN	since
last	JJ	last
May	NP	May
.	SENT	.
<p>
Israel	NP	Israel
has	VBZ	have
also	RB	also
