<p>
Donald	NP	Donald
Trump	NP	Trump
has	VBZ	have
met	VBN	meet
with	IN	with
the	DT	the
King	NP	King
of	IN	of
Jordan	NP	Jordan
,	,	,
Abdullah	NP	Abdullah
II	NP	II
,	,	,
whose	WP$	whose
country	NN	country
would	MD	would
theoretically	RB	theoretically
play	VB	play
a	DT	a
central	JJ	central
role	NN	role
in	IN	in
his	PP$	his
scheme	NN	scheme
to	TO	to
deport	VB	deport
the	DT	the
entire	JJ	entire
Palestinian	JJ	Palestinian
population	NN	population
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
allowing	VBG	allow
the	DT	the
United	NP	United
States	NPS	States
to	TO	to
take	VB	take
control	NN	control
of	IN	of
the	DT	the
territory	NN	territory
.	SENT	.
<p>
The	DT	the
President	NP	President
has	VBZ	have
suggested	VBN	suggest
Jordan	NP	Jordan
could	MD	could
absorb	VB	absorb
a	DT	a
million	CD	million
of	IN	of
those	DT	those
Palestinians	NPS	Palestinians
,	,	,
with	IN	with
Egypt	NP	Egypt
taking	VBG	take
the	DT	the
other	JJ	other
million	CD	million
or	CC	or
so	RB	so
.	SENT	.
<p>
Sitting	VBG	sit
next	JJ	next
to	TO	to
King	NP	King
Abdullah	NP	Abdullah
at	IN	at
the	DT	the
White	NP	White
House	NP	House
today	NN	today
,	,	,
Mr	NP	Mr
Trump	NP	Trump
was	VBD	be
asked	VBN	ask
why	WRB	why
Jordan	NP	Jordan
should	MD	should
take	VB	take
in	IN	in
the	DT	the
Palestinians	NPS	Palestinians
,	,	,
given	VBN	give
the	DT	the
King	NP	King
has	VBZ	have
made	VBN	make
it	PP	it
"	``	"
clear	VBP	clear
he	PP	he
does	VBZ	do
n't	RB	n't
want	VB	want
to	TO	to
"	''	"
.	SENT	.
<p>
"	``	"
I	PP	I
believe	VBP	believe
we	PP	we
'	''	'
ll	NNS	<unknown>
have	VBP	have
a	DT	a
parcel	NN	parcel
of	IN	of
land	NN	land
in	IN	in
Jordan	NP	Jordan
"	''	"
Mr	NP	Mr
Trump	NP	Trump
said	VBD	say
.	SENT	.
<p>
"	``	"
I	PP	I
believe	VBP	believe
we	PP	we
'	''	'
ll	NNS	<unknown>
have	VBP	have
a	DT	a
parcel	NN	parcel
of	IN	of
land	NN	land
in	IN	in
Egypt	NP	Egypt
,	,	,
we	PP	we
may	MD	may
have	VB	have
some	DT	some
place	NN	place
else	RB	else
,	,	,
but	CC	but
I	PP	I
think	VBP	think
when	WRB	when
we	PP	we
finish	VBP	finish
our	PP$	our
talks	NNS	talk
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
a	DT	a
place	NN	place
where	WRB	where
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
live	VB	live
very	RB	very
happily	RB	happily
and	CC	and
very	RB	very
safely	RB	safely
.	SENT	.
<p>
"	''	"
With	IN	with
Egypt	NP	Egypt
,	,	,
I	PP	I
think	VBP	think
you	PP	you
'	''	'
re	IN	re
going	VBG	go
to	TO	to
see	VB	see
some	DT	some
great	JJ	great
progress	NN	progress
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
some	DT	some
great	JJ	great
progress	NN	progress
.	SENT	.
"	``	"
<p>
He	PP	he
was	VBD	be
referring	VBG	refer
to	TO	to
upcoming	JJ	upcoming
negotiations	NNS	negotiation
with	IN	with
a	DT	a
group	NN	group
of	IN	of
Arab	JJ	Arab
nations	NNS	nation
.	SENT	.
<p>
Mr	NP	Mr
Trump	NP	Trump
and	CC	and
King	NP	King
Abdullah	NP	Abdullah
in	IN	in
the	DT	the
Oval	JJ	oval
Office	NN	office
.	SENT	.
Picture	NN	picture
:	:	:
Saul	NP	Saul
Loeb/AFP	NP	<unknown>
<p>
King	NP	King
Abdullah	NP	Abdullah
was	VBD	be
diplomatic	JJ	diplomatic
,	,	,
presumably	RB	presumably
seeking	VBG	seek
to	TO	to
avoid	VB	avoid
a	DT	a
public	JJ	public
confrontation	NN	confrontation
.	SENT	.
<p>
"	``	"
This	DT	this
is	VBZ	be
something	NN	something
that	IN	that
we	PP	we
as	IN	as
Arabs	NNS	Arab
will	MD	will
be	VB	be
coming	VBG	come
to	TO	to
the	DT	the
United	NP	United
States	NPS	States
with	IN	with
something	NN	something
,	,	,
that	WDT	that
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
talk	VB	talk
about	RB	about
later	RBR	later
,	,	,
to	TO	to
discuss	VB	discuss
all	PDT	all
these	DT	these
options	NNS	option
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
The	DT	the
King	NP	King
also	RB	also
praised	VBD	praise
Mr	NP	Mr
Trump	NP	Trump
as	IN	as
"	``	"
somebody	NN	somebody
that	WDT	that
can	MD	can
take	VB	take
us	PP	us
across	IN	across
the	DT	the
finish	NN	finish
line	NN	line
to	TO	to
bring	VB	bring
stability	NN	stability
,	,	,
peace	NN	peace
and	CC	and
prosperity	NN	prosperity
to	TO	to
all	DT	all
of	IN	of
us	PP	us
in	IN	in
the	DT	the
region	NN	region
"	''	"
.	SENT	.
<p>
Later	RBR	later
,	,	,
in	IN	in
a	DT	a
statement	NN	statement
issued	VBN	issue
after	IN	after
