<p>
Teams	NNS	team
conduct	VBP	conduct
a	DT	a
search	NN	search
and	CC	and
rescue	NN	rescue
operation	NN	operation
after	IN	after
Israeli	JJ	Israeli
airstrike	NN	airstrike
on	IN	on
a	DT	a
tent	NN	tent
encampment	NN	encampment
of	IN	of
displaced	VBN	displace
Palestinians	NNS	Palestinian
in	IN	in
Al-Mawasi	NP	<unknown>
area	NN	area
of	IN	of
Khan	NP	Khan
Younis	NP	Younis
<p>
SHARE	NN	share
<p>
An	DT	an
Israeli	JJ	Israeli
military	JJ	military
investigation	NN	investigation
concluded	VBD	conclude
Sunday	NP	Sunday
that	IN	that
its	PP$	its
troops	NNS	troop
did	VBD	do
not	RB	not
use	VB	use
"	``	"
indiscriminate	JJ	indiscriminate
fire	NN	fire
"	''	"
in	IN	in
an	DT	an
incident	NN	incident
that	WDT	that
killed	VBD	kill
15	CD	@card@
Gaza	NP	Gaza
emergency	NN	emergency
service	NN	service
personnel	NNS	personnel
,	,	,
but	CC	but
acknowledged	VBD	acknowledge
failures	NNS	failure
and	CC	and
announced	VBD	announce
plans	NNS	plan
to	TO	to
dismiss	VB	dismiss
a	DT	a
field	NN	field
commander	NN	commander
.	SENT	.
<p>
The	DT	the
killings	NNS	killing
occurred	VBD	occur
in	IN	in
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
Strip	NP	Strip
in	IN	in
the	DT	the
early	JJ	early
hours	NNS	hour
of	IN	of
March	NP	March
23	CD	@card@
,	,	,
just	RB	just
days	NNS	day
into	IN	into
a	DT	a
renewed	JJ	renewed
Israeli	JJ	Israeli
offensive	NN	offensive
in	IN	in
the	DT	the
Hamas-ruled	JJ	<unknown>
territory	NN	territory
.	SENT	.
<p>
They	PP	they
sparked	VBD	spark
international	JJ	international
condemnation	NN	condemnation
,	,	,
including	VBG	include
concern	NN	concern
about	IN	about
possible	JJ	possible
"	``	"
war	NN	war
crimes	NNS	crime
"	''	"
from	IN	from
the	DT	the
UN	NP	UN
High	NP	High
Commissioner	NP	Commissioner
for	IN	for
Human	NP	Human
Rights	NPS	Rights
,	,	,
Volker	NP	Volker
Turk	NP	Turk
.	SENT	.
<p>
Israel	NP	Israel
insisted	VBD	insist
there	EX	there
were	VBD	be
six	CD	six
militants	NNS	militant
in	IN	in
the	DT	the
ambulances	NNS	ambulance
that	WDT	that
came	VBD	come
under	IN	under
fire	NN	fire
near	IN	near
the	DT	the
southern	JJ	southern
city	NN	city
of	IN	of
Rafah	NP	<unknown>
on	IN	on
that	DT	that
day	NN	day
.	SENT	.
<p>
"	``	"
The	DT	the
troops	NNS	troop
did	VBD	do
not	RB	not
engage	VB	engage
in	IN	in
indiscriminate	JJ	indiscriminate
fire	NN	fire
but	CC	but
remained	VBD	remain
alert	JJ	alert
to	TO	to
respond	VB	respond
to	TO	to
real	JJ	real
threats	NNS	threat
identified	VBN	identify
by	IN	by
them	PP	them
,	,	,
"	''	"
the	DT	the
military	NN	military
said	VBD	say
in	IN	in
a	DT	a
summary	NN	summary
of	IN	of
the	DT	the
probe	NN	probe
.	SENT	.
<p>
Younis	NP	Younis
Al-Khatib	NP	Al-Khatib
,	,	,
president	NN	president
of	IN	of
the	DT	the
Red	NP	Red
Crescent	NP	Crescent
in	IN	in
the	DT	the
Israeli-occupied	JJ	Israeli-occupied
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
ago	RB	ago
that	IN	that
an	DT	an
autopsy	NN	autopsy
of	IN	of
the	DT	the
victims	NNS	victim
'	POS	'
bodies	NNS	body
revealed	VBD	reveal
that	IN	that
"	``	"
all	PDT	all
the	DT	the
martyrs	NNS	martyr
were	VBD	be
shot	VBN	shoot
in	IN	in
the	DT	the
upper	JJ	upper
part	NN	part
of	IN	of
their	PP$	their
bodies	NNS	body
,	,	,
with	IN	with
the	DT	the
intent	NN	intent
to	TO	to
kill	VB	kill
"	''	"
.	SENT	.
<p>
The	DT	the
military	NN	military
acknowledged	VBD	acknowledge
a	DT	a
failure	NN	failure
on	IN	on
the	DT	the
part	NN	part
of	IN	of
its	PP$	its
troops	NNS	troop
to	TO	to
fully	RB	fully
report	VB	report
the	DT	the
incident	NN	incident
,	,	,
moving	VBG	move
to	TO	to
dismiss	VB	dismiss
the	DT	the
commander	NN	commander
responsible	JJ	responsible
.	SENT	.
<p>
"	''	"
The	DT	the
examination	NN	examination
identified	VBD	identify
several	JJ	several
professional	JJ	professional
failures	NNS	failure
,	,	,
breaches	NNS	breach
of	IN	of
orders	NNS	order
,	,	,
and	CC	and
a	DT	a
failure	NN	failure
to	TO	to
fully	RB	fully
report	VB	report
the	DT	the
incident	NN	incident
,	,	,
"	''	"
the	DT	the
army	NN	army
said	VBD	say
.	SENT	.
<p>
It	PP	it
added	VBD	add
that	IN	that
a	DT	a
deputy	JJ	deputy
commander	NN	commander
"	''	"
will	MD	will
be	VB	be
dismissed	VBN	dismiss
from	IN	from
his	PP$	his
position	NN	position
due	JJ	due
to	TO	to
his	PP$	his
responsibilities	NNS	responsibility
as	IN	as
the	DT	the
field	NN	field
commander	NN	commander
...	:	...
and	CC	and
for	IN	for
providing	VBG	provide
an	DT	an
incomplete	JJ	incomplete
and	CC	and
inaccurate	JJ	inaccurate
report	NN	report
during	IN	during
the	DT	the
debrief	VBP	debrief
"	''	"
.	SENT	.
<p>
The	DT	the
probe	NN	probe
also	RB	also
concluded	VBD	conclude
that	IN	that
six	CD	six
of	IN	of
the	DT	the
victims	NNS	victim
were	VBD	be
Hamas	JJ	<unknown>
militants	NNS	militant
.	SENT	.
<p>
--	:	--
'	POS	'
Regrets	NNS	regret
'	''	'
--	:	--
"	``	"
Fifteen	CD	fifteen
Palestinians	NPS	Palestinians
were	VBD	be
killed	VBN	kill
,	,	,
six	CD	six
of	IN	of
whom	WP	whom
were	VBD	be
identified	VBN	identify
in	IN	in
a	DT	a
retrospective	JJ	retrospective
examination	NN	examination
as	IN	as
Hamas	JJ	<unknown>
terrorists	NNS	terrorist
,	,	,
"	''	"
the	DT	the
military	NN	military
said	VBD	say
.	SENT	.
<p>
The	DT	the
incident	NN	incident
occurred	VBD	occur
in	IN	in
the	DT	the
early	JJ	early
hours	NNS	hour
when	WRB	when
the	DT	the
emergency	NN	emergency
service	NN	service
providers	NNS	provider
were	VBD	be
addressing	VBG	address
distress	NN	distress
calls	NNS	call
from	IN	from
Palestinian	JJ	Palestinian
residents	NNS	resident
near	IN	near
Rafah	NP	<unknown>
following	VBG	follow
an	DT	an
Israeli	JJ	Israeli
air	NN	air
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Crescent	NP	Crescent
Society	NP	Society
.	SENT	.
<p>
Eight	CD	eight
Red	NP	Red
Crescent	NP	Crescent
staff	NN	staff
members	NNS	member
,	,	,
six	CD	six
from	IN	from
the	DT	the
Gaza	NP	Gaza
civil	JJ	civil
defence	NN	defence
rescue	NN	rescue
agency	NN	agency
and	CC	and
one	CD	one
employee	NN	employee
of	IN	of
the	DT	the
UN	NP	UN
agency	NN	agency
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
were	VBD	be
killed	VBN	kill
in	IN	in
the	DT	the
incident	NN	incident
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
UN	NP	UN
humanitarian	JJ	humanitarian
agency	NN	agency
OCHA	NP	Ocha
and	CC	and
Palestinian	JJ	Palestinian
rescuers	NNS	rescuer
.	SENT	.
<p>
Days	NNS	day
after	IN	after
the	DT	the
incident	NN	incident
,	,	,
the	DT	the
Israeli	JJ	Israeli
military	NN	military
said	VBD	say
its	PP$	its
soldiers	NNS	soldier
fired	VBN	fire
on	IN	on
"	``	"
terrorists	NNS	terrorist
"	''	"
approaching	VBG	approach
them	PP	them
in	IN	in
"	``	"
suspicious	JJ	suspicious
vehicles	NNS	vehicle
"	''	"
,	,	,
with	IN	with
a	DT	a
spokesman	NN	spokesman
later	RBR	later
adding	VBG	add
that	IN	that
the	DT	the
vehicles	NNS	vehicle
had	VBD	have
their	PP$	their
lights	NNS	light
off	RP	off
.	SENT	.
<p>
But	CC	but
a	DT	a
video	NN	video
recovered	VBD	recover
from	IN	from
the	DT	the
cellphone	NN	cellphone
of	IN	of
one	CD	one
of	IN	of
the	DT	the
slain	VBN	slay
aid	NN	aid
workers	NNS	worker
,	,	,
released	VBN	release
by	IN	by
the	DT	the
Red	NP	Red
Crescent	NP	Crescent
,	,	,
appears	VBZ	appear
to	TO	to
contradict	VB	contradict
the	DT	the
Israeli	JJ	Israeli
military	NN	military
'	POS	'
s	NN	S
account	NN	account
.	SENT	.
<p>
The	DT	the
footage	NN	footage
shows	VBZ	show
ambulances	NNS	ambulance
travelling	VBG	travel
with	IN	with
their	PP$	their
headlights	NNS	headlight
on	IN	on
and	CC	and
emergency	NN	emergency
lights	NNS	light
flashing	VBG	flash
.	SENT	.
<p>
The	DT	the
bodies	NNS	body
of	IN	of
the	DT	the
killed	VBN	kill
men	NNS	man
were	VBD	be
found	VBN	find
buried	VBN	bury
near	IN	near
the	DT	the
site	NN	site
of	IN	of
the	DT	the
shooting	NN	shooting
in	IN	in
the	DT	the
Tal	NP	Tal
al-Sultan	NP	al-Sultan
area	NN	area
of	IN	of
Rafah	NP	<unknown>
city	NN	city
,	,	,
in	IN	in
what	WP	what
