<h>
Some	DT	some
of	IN	of
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
critics	NNS	critic
feel	VBP	feel
that	IN	that
he	PP	he
is	VBZ	be
prioritizing	VBG	<unknown>
the	DT	the
stability	NN	stability
of	IN	of
his	PP$	his
coalition	NN	coalition
government	NN	government
above	IN	above
the	DT	the
release	NN	release
of	IN	of
the	DT	the
hostages	NNS	hostage
.	SENT	.
<p>
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
did	VBD	do
not	RB	not
add	VB	add
any	DT	any
new	JJ	new
conditions	NNS	condition
to	TO	to
the	DT	the
hostage	NN	hostage
deal	NN	deal
,	,	,
his	PP$	his
office	NN	office
said	VBD	say
as	IN	as
the	DT	the
United	NP	United
States	NPS	States
,	,	,
Qatar	NP	Qatar
,	,	,
and	CC	and
Egypt	NP	Egypt
were	VBD	be
set	VBN	set
to	TO	to
hold	VB	hold
a	DT	a
new	JJ	new
round	NN	round
of	IN	of
hostage	NN	hostage
talks	NNS	talk
on	IN	on
Thursday	NP	Thursday
.	SENT	.
<p>
The	DT	the
claim	NN	claim
that	IN	that
Netanyahu	NP	<unknown>
"	``	"
added	VBD	add
new	JJ	new
demands	NNS	demand
to	TO	to
the	DT	the
May	NP	May
27	CD	@card@
outline	NN	outline
is	VBZ	be
false	JJ	false
,	,	,
"	''	"
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
'	POS	'
s	NN	S
Office	NN	office
stated	VBD	state
,	,	,
as	IN	as
he	PP	he
referenced	VBD	reference
the	DT	the
three-phase	JJ	three-phase
proposal	NN	proposal
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
unveiled	VBD	unveil
on	IN	on
May	NP	May
31	CD	@card@
.	SENT	.
<p>
It	PP	it
contrasted	VBD	contrast
the	DT	the
initial	JJ	initial
Israeli	JJ	Israeli
proposal	NN	proposal
of	IN	of
May	NP	May
27	CD	@card@
,	,	,
which	WDT	which
was	VBD	be
the	DT	the
basis	NN	basis
of	IN	of
that	DT	that
document	NN	document
,	,	,
with	IN	with
the	DT	the
clarifications	NNS	clarification
Israel	NP	Israel
had	VBD	have
set	VBN	set
forward	RB	forward
on	IN	on
July	NP	July
27	CD	@card@
.	SENT	.
<p>
"	``	"
The	DT	the
July	NP	July
27	CD	@card@
draft	NN	draft
does	VBZ	do
not	RB	not
include	VB	include
new	JJ	new
conditions	NNS	condition
and	CC	and
does	VBZ	do
not	RB	not
contradict	VB	contradict
the	DT	the
May	NP	May
27	CD	@card@
outline	NN	outline
.	SENT	.
Hamas	NP	<unknown>
is	VBZ	be
the	DT	the
one	CD	one
who	WP	who
demanded	VBD	demand
29	CD	@card@
changes	NNS	change
-	JJ	<unknown>
something	NN	something
that	IN	that
the	DT	the
prime	JJ	prime
minister	NN	minister
opposed	VBD	oppose
,	,	,
"	``	"
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
'	POS	'
s	JJ	<unknown>
Office	NP	Office
stated.It	NN	<unknown>
focused	VBD	focus
on	IN	on
three	CD	three
issues	NNS	issue
raised	VBN	raise
by	IN	by
Netanyahu	NP	<unknown>
himself	PP	himself
and	CC	and
heavily	RB	heavily
debated	VBN	debate
in	IN	in
the	DT	the
media	NNS	medium
,	,	,
including	VBG	include
the	DT	the
New	NP	New
York	NP	York
Times	NP	Times
piece	NN	piece
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
armed	JJ	armed
terrorists	NNS	terrorist
to	TO	to
return	VB	return
to	TO	to
northern	JJ	northern
Gaza	NP	Gaza
,	,	,
which	WDT	which
Netanyahu	NP	<unknown>
has	VBZ	have
set	VBN	set
as	IN	as
one	CD	one
of	IN	of
his	PP$	his
red	JJ	red
lines	NNS	line
for	IN	for
the	DT	the
deal	NN	deal
.	SENT	.
<p>
Initially	RB	initially
,	,	,
the	DT	the
language	NN	language
around	IN	around
the	DT	the
issue	NN	issue
stated	VBD	state
that	IN	that
armed	JJ	armed
