<p>
LONDON	NP	LONDON
,	,	,
Aug	NN	Aug
8	CD	@card@
--	:	--
The	DT	the
European	NP	European
Union	NP	Union
,	,	,
France	NP	France
and	CC	and
the	DT	the
UK	NP	UK
yesterday	NN	yesterday
condemned	VBD	condemn
a	DT	a
far-right	JJ	far-right
Israeli	JJ	Israeli
minister	NN	minister
for	IN	for
suggesting	VBG	suggest
it	PP	it
would	MD	would
be	VB	be
"	``	"
justified	JJ	justified
and	CC	and
moral	JJ	moral
"	''	"
to	TO	to
starve	VB	starve
two	CD	two
million	CD	million
Gazans	NNS	Gazan
to	TO	to
free	JJ	free
scores	NNS	score
of	IN	of
captives	NNS	captive
held	VBN	hold
in	IN	in
the	DT	the
Palestinian	JJ	Palestinian
territory	NN	territory
.	SENT	.
<p>
"	''	"
No	DT	no
one	CD	one
in	IN	in
the	DT	the
world	NN	world
will	MD	will
allow	VB	allow
us	PP	us
to	TO	to
starve	VB	starve
two	CD	two
million	CD	million
people	NNS	people
,	,	,
even	RB	even
though	IN	though
it	PP	it
might	MD	might
be	VB	be
justified	JJ	justified
and	CC	and
moral	JJ	moral
in	IN	in
order	NN	order
to	TO	to
free	VB	free
the	DT	the
hostages	NNS	hostage
,	,	,
"	''	"
Israel	NP	Israel
'	POS	'
s	NN	S
Finance	NP	Finance
Minister	NP	Minister
Bezalel	NP	<unknown>
Smotrich	NP	Smotrich
said	VBD	say
at	IN	at
a	DT	a
conference	NN	conference
earlier	RBR	earlier
this	DT	this
week	NN	week
.	SENT	.
<p>
"	``	"
We	PP	we
are	VBP	be
bringing	VBG	bring
in	IN	in
humanitarian	JJ	humanitarian
aid	NN	aid
because	IN	because
we	PP	we
have	VBP	have
no	DT	no
choice	NN	choice
.	SENT	.
We	PP	we
are	VBP	be
in	IN	in
a	DT	a
situation	NN	situation
that	WDT	that
requires	VBZ	require
international	JJ	international
legitimacy	NN	legitimacy
to	TO	to
conduct	VB	conduct
this	DT	this
war	NN	war
.	SENT	.
"	''	"
<p>
Smotrich	NP	Smotrich
'	POS	'
s	NN	S
remarks	NNS	remark
sparked	VBD	spark
outrage	NN	outrage
in	IN	in
the	DT	the
international	JJ	international
community	NN	community
,	,	,
with	IN	with
the	DT	the
European	NP	European
Union	NP	Union
saying	VBG	say
the	DT	the
deliberate	JJ	deliberate
starvation	NN	starvation
of	IN	of
civilians	NNS	civilian
was	VBD	be
a	DT	a
"	``	"
war	NN	war
crime	NN	crime
"	''	"
.	SENT	.
<p>
"	''	"
It	PP	it
demonstrates	VBZ	demonstrate
,	,	,
once	RB	once
again	RB	again
,	,	,
his	PP$	his
contempt	NN	contempt
for	IN	for
international	JJ	international
law	NN	law
and	CC	and
for	IN	for
basic	JJ	basic
principles	NNS	principle
of	IN	of
humanity	NN	humanity
,	,	,
"	''	"
the	DT	the
EU	NP	EU
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
.	SENT	.
<p>
"	``	"
We	PP	we
expect	VBP	expect
the	DT	the
Israeli	JJ	Israeli
government	NN	government
to	TO	to
unequivocally	RB	unequivocally
distance	VB	distance
itself	PP	itself
from	IN	from
the	DT	the
words	NNS	word
of	IN	of
Minister	NP	Minister
Smotrich	NP	Smotrich
,	,	,
"	''	"
the	DT	the
EU	NP	EU
said	VBD	say
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
needs	VBZ	need
of	IN	of
Gazans	NNS	Gazan
,	,	,
including	VBG	include
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
children	NNS	child
.	SENT	.
<p>
The	DT	the
EU	NP	EU
reiterated	VBD	reiterate
its	PP$	its
call	NN	call
for	IN	for
an	DT	an
"	``	"
immediate	JJ	immediate
ceasefire	NN	ceasefire
"	''	"
to	TO	to
secure	VB	secure
the	DT	the
release	NN	release
of	IN	of
all	DT	all
hostages	NNS	hostage
and	CC	and
also	RB	also
to	TO	to
increase	VB	increase
the	DT	the
distribution	NN	distribution
of	IN	of
aid	NN	aid
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
<p>
France	NP	France
also	RB	also
criticised	VBD	criticise
Smotrich	NP	Smotrich
,	,	,
expressing	VBG	express
its	PP$	its
"	``	"
deep	JJ	deep
dismay	NN	dismay
at	IN	at
the	DT	the
scandalous	JJ	scandalous
remarks	NNS	remark
"	''	"
.	SENT	.
<p>
