<p>
(	(	(
1st	JJ	1st
UPDATE	NN	update
)	)	)
The	DT	the
new	JJ	new
orders	NNS	order
for	IN	for
the	DT	the
Shejaia	NP	<unknown>
suburb	NN	suburb
posted	VBD	post
by	IN	by
the	DT	the
Israeli	JJ	Israeli
army	NN	army
spokesperson	NN	spokesperson
on	IN	on
X	NP	X
on	IN	on
Saturday	NP	Saturday
night	NN	night
were	VBD	be
blamed	VBN	blame
on	IN	on
Palestinian	JJ	Palestinian
militants	NNS	militant
firing	VBG	fire
rockets	NNS	rocket
from	IN	from
that	DT	that
heavily	RB	heavily
built-up	JJ	built-up
district	NN	district
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
<p>
CAIRO	NP	Cairo
,	,	,
Egypt	NP	Egypt
--	:	--
The	DT	the
Israeli	JJ	Israeli
military	NN	military
issued	VBD	issue
new	JJ	new
evacuation	NN	evacuation
orders	NNS	order
to	TO	to
residents	NNS	resident
in	IN	in
areas	NNS	area
of	IN	of
an	DT	an
eastern	JJ	eastern
Gaza	NP	Gaza
City	NP	City
suburb	NN	suburb
,	,	,
setting	VBG	set
off	RP	off
a	DT	a
new	JJ	new
wave	NN	wave
of	IN	of
displacement	NN	displacement
on	IN	on
Sunday	NP	Sunday
,	,	,
November	NP	November
24	CD	@card@
,	,	,
and	CC	and
a	DT	a
Gaza	NP	Gaza
hospital	NN	hospital
director	NN	director
was	VBD	be
injured	VBN	injure
in	IN	in
an	DT	an
Israeli	JJ	Israeli
drone	NN	drone
attack	NN	attack
,	,	,
Palestinian	JJ	Palestinian
medics	NNS	medic
said	VBD	say
.	SENT	.
<p>
The	DT	the
new	JJ	new
orders	NNS	order
for	IN	for
the	DT	the
Shejaia	NP	<unknown>
suburb	NN	suburb
posted	VBD	post
by	IN	by
the	DT	the
Israeli	JJ	Israeli
army	NN	army
spokesperson	NN	spokesperson
on	IN	on
X	NP	X
on	IN	on
Saturday	NP	Saturday
night	NN	night
were	VBD	be
blamed	VBN	blame
on	IN	on
Palestinian	JJ	Palestinian
militants	NNS	militant
firing	VBG	fire
rockets	NNS	rocket
from	IN	from
that	DT	that
heavily	RB	heavily
built-up	JJ	built-up
district	NN	district
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
<p>
"	``	"
For	IN	for
your	PP$	your
safety	NN	safety
,	,	,
you	PP	you
must	MD	must
evacuate	VB	evacuate
immediately	RB	immediately
to	TO	to
the	DT	the
south	NN	south
,	,	,
"	''	"
the	DT	the
military	NN	military
'	POS	'
s	NN	S
post	NN	post
said	VBD	say
.	SENT	.
The	DT	the
rocket	NN	rocket
volley	NN	volley
on	IN	on
Saturday	NP	Saturday
,	,	,
November	NP	November
23	CD	@card@
,	,	,
was	VBD	be
claimed	VBN	claim
by	IN	by
Hamas	NP	<unknown>
'	POS	'
armed	JJ	armed
wing	NN	wing
,	,	,
which	WDT	which
said	VBD	say
it	PP	it
had	VBD	have
targeted	VBN	target
an	DT	an
Israeli	JJ	Israeli
army	NN	army
base	NN	base
over	IN	over
the	DT	the
border	NN	border
.	SENT	.
<p>
Footage	NN	footage
circulated	VBD	circulate
on	IN	on
social	NN	social
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
showed	VBD	show
residents	NNS	resident
leaving	VBG	leave
Shejaia	NP	<unknown>
on	IN	on
donkey	NN	donkey
carts	NNS	cart
and	CC	and
rickshaws	NNS	rickshaw
,	,	,
with	IN	with
others	NNS	other
,	,	,
including	VBG	include
children	NNS	child
carrying	VBG	carry
backpacks	NNS	backpack
,	,	,
walking	VBG	walk
.	SENT	.
<p>
Families	NNS	family
living	VBG	live
in	IN	in
the	DT	the
targeted	JJ	targeted
areas	NNS	area
began	VBD	begin
fleeing	VBG	flee
their	PP$	their
homes	NNS	home
after	IN	after
nightfall	NN	nightfall
on	IN	on
Saturday	NP	Saturday
and	CC	and
into	IN	into
Sunday	NP	Sunday
'	POS	'
s	JJ	<unknown>
early	JJ	early
hours	NNS	hour
,	,	,
residents	NNS	resident
and	CC	and
Palestinian	JJ	Palestinian
media	NNS	medium
said	VBD	say
--	:	--
the	DT	the
latest	JJS	late
in	IN	in
multiple	JJ	multiple
waves	NNS	wave
of	IN	of
displacement	NN	displacement
since	IN	since
the	DT	the
war	NN	war
began	VBD	begin
13	CD	@card@
months	NNS	month
ago	RB	ago
.	SENT	.
<p>
In	IN	in
central	JJ	central
Gaza	NP	Gaza
,	,	,
health	NN	health
officials	NNS	official
said	VBD	say
at	IN	at
least	JJS	least
10	CD	@card@
Palestinians	NNS	Palestinian
were	VBD	be
killed	VBN	kill
in	IN	in
Israeli	JJ	Israeli
airstrikes	NNS	airstrike
on	IN	on
the	DT	the
urban	JJ	urban
camps	NNS	camp
of	IN	of
Al-Maghazi	NP	Al-Maghazi
and	CC	and
Al-Bureij	NP	<unknown>
since	IN	since
Saturday	NP	Saturday
night	NN	night
.	SENT	.
<p>
Adding	VBG	add
to	TO	to
the	DT	the
miseries	NNS	misery
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	NN	S
2.3	CD	@card@
million	CD	million
people	NNS	people
,	,	,
most	JJS	most
of	IN	of
whom	WP	whom
have	VBP	have
been	VBN	be
repeatedly	RB	repeatedly
displaced	VBN	displace
,	,	,
heavy	JJ	heavy
winter	NN	winter
rain	NN	rain
flooded	VBD	flood
hundreds	NNS	hundred
of	IN	of
tents	NNS	tent
across	IN	across
the	DT	the
enclave	NN	enclave
,	,	,
spoiling	VBG	spoil
food	NN	food
and	CC	and
sweeping	VBG	sweep
away	RP	away
plastic	NN	plastic
and	CC	and
cloth	NN	cloth
sheeting	NN	sheeting
that	WDT	that
had	VBD	have
protected	VBN	protect
them	PP	them
against	IN	against
the	DT	the
elements	NNS	element
.	SENT	.
<p>
"	''	"
We	PP	we
ran	VBD	run
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
night	NN	night
,	,	,
the	DT	the
rainwater	NN	rainwater
flooded	VBD	flood
the	DT	the
tent	NN	tent
,	,	,
the	DT	the
food	NN	food
is	VBZ	be
gone	VBN	go
,	,	,
the	DT	the
kids	NNS	kid
screamed	VBD	scream
and	CC	and
I	PP	I
am	VBP	be
afraid	JJ	afraid
they	PP	they
will	MD	will
get	VB	get
sick	JJ	sick
,	,	,
"	''	"
Rami	NP	Rami
,	,	,
37	CD	@card@
,	,	,
a	DT	a
Gaza	NP	Gaza
City	NP	City
man	NN	man
displaced	VBN	displace
at	IN	at
a	DT	a
former	JJ	former
soccer	NN	soccer
stadium	NN	stadium
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Palestinian	JJ	Palestinian
Civil	NP	Civil
Emergency	NP	Emergency
Service	NP	Service
said	VBD	say
thousands	NNS	thousand
of	IN	of
displaced	VBN	displace
people	NNS	people
were	VBD	be
impacted	VBN	impact
by	IN	by
the	DT	the
seasonal	JJ	seasonal
flooding	NN	flooding
and	CC	and
demanded	VBD	demand
new	JJ	new
tents	NNS	tent
and	CC	and
caravans	NNS	caravan
from	IN	from
aid	NN	aid
donors	NNS	donor
to	TO	to
shield	VB	shield
them	PP	them
.	SENT	.
<h>
Hospital	NN	hospital
director	NN	director
wounded	VBN	wound
by	IN	by
gunfire	NN	gunfire
<p>
In	IN	in
north	JJ	north
Gaza	NP	Gaza
,	,	,
where	WRB	where
Israeli	JJ	Israeli
forces	NNS	force
have	VBP	have
been	VBN	be
operating	VBG	operate
against	IN	against
regrouping	VBG	regroup
Hamas	JJ	<unknown>
militants	NNS	militant
since	IN	since
early	JJ	early
last	JJ	last
month	NN	month
,	,	,
health	NN	health
officials	NNS	official
said	VBD	say
an	DT	an
Israeli	JJ	Israeli
drone	NN	drone
dropped	VBD	drop
bombs	NNS	bomb
on	IN	on
Kamal	NP	Kamal
Adwan	NP	<unknown>
Hospital	NP	Hospital
,	,	,
injuring	VBG	injure
its	PP$	its
director	NN	director
