<p>
Germany	NP	Germany
is	VBZ	be
concerned	VBN	concern
about	IN	about
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
move	NN	move
to	TO	to
cut	VB	cut
electricity	NN	electricity
supplies	NNS	supply
to	TO	to
Gaza	NP	Gaza
and	CC	and
by	IN	by
talks	NNS	talk
on	IN	on
ending	VBG	end
water	NN	water
supplies	NNS	supply
,	,	,
the	DT	the
German	JJ	German
Federal	NP	Federal
Foreign	NP	Foreign
Office	NP	Office
said	VBD	say
Monday	NP	Monday
.	SENT	.
<p>
"	''	"
Such	JJ	such
steps	NNS	step
are	VBP	be
or	CC	or
would	MD	would
be	VB	be
unacceptable	JJ	unacceptable
and	CC	and
incompatible	JJ	incompatible
with	IN	with
international	JJ	international
legal	JJ	legal
obligations	NNS	obligation
,	,	,
"	''	"
Foreign	NP	Foreign
Office	NP	Office
spokesperson	NN	spokesperson
Kathrin	NP	Kathrin
Deschauer	NP	Deschauer
said	VBD	say
,	,	,
stressing	VBG	stress
that	IN	that
electricity	NN	electricity
is	VBZ	be
essential	JJ	essential
for	IN	for
the	DT	the
operation	NN	operation
of	IN	of
the	DT	the
water	NN	water
desalination	NN	desalination
plant	NN	plant
at	IN	at
Khan	NP	Khan
Yunis	NP	Yunis
.	SENT	.
Israel	NP	Israel
halted	VBD	halt
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
electricity	NN	electricity
supply	NN	supply
Sunday	NP	Sunday
.	SENT	.
<p>
The	DT	the
plant	NN	plant
is	VBZ	be
currently	RB	currently
using	VBG	use
generators	NNS	generator
that	WDT	that
are	VBP	be
in	IN	in
poor	JJ	poor
condition	NN	condition
and	CC	and
could	MD	could
stop	VB	stop
working	VBG	work
at	IN	at
any	DT	any
moment	NN	moment
,	,	,
said	VBD	say
desalination	NN	desalination
plant	NN	plant
manager	NN	manager
Ahmed	NP	Ahmed
Alrobai	NP	<unknown>
according	VBG	accord
to	TO	to
Al	NP	Al
Jazeera	NP	<unknown>
.	SENT	.
If	IN	if
the	DT	the
generators	NNS	generator
fail	VBP	fail
,	,	,
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Gazans	NNS	Gazan
would	MD	would
be	VB	be
deprived	VBN	deprive
of	IN	of
clean	JJ	clean
drinking	NN	drinking
water	NN	water
and	CC	and
raw	JJ	raw
sewage	NN	sewage
could	MD	could
be	VB	be
discharged	VBN	discharge
into	IN	into
the	DT	the
Mediterranean	NP	Mediterranean
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
Advertisement	NN	advertisement
<p>
On	IN	on
March	NP	March
2	CD	@card@
,	,	,
hours	NNS	hour
after	IN	after
a	DT	a
mutual	JJ	mutual
cease-fire	NN	cease-fire
and	CC	and
prisoner	NN	prisoner
exchange	NN	exchange
deal	NN	deal
expired	VBD	expire
,	,	,
Israel	NP	Israel
suspended	VBD	suspend
the	DT	the
movement	NN	movement
of	IN	of
goods	NNS	good
into	IN	into
the	DT	the
